"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.998,,
0.050,1.963,-0.69,
0.100,1.928,-0.70,-0.1
0.150,1.894,-0.70,0.3
0.200,1.858,-0.67,0.7
0.250,1.823,-0.62,0.8
0.300,1.798,-0.58,0.5
0.350,1.769,-0.56,0.2
0.400,1.740,-0.56,0.0
0.450,1.712,-0.57,-0.2
0.500,1.686,-0.58,4.0E-4
0.550,1.652,-0.59,0.4
0.600,1.625,-0.54,0.7
0.650,1.596,-0.50,0.7
0.700,1.578,-0.47,0.5
0.750,1.549,-0.45,0.5
0.800,1.530,-0.43,0.4
0.850,1.510,-0.40,0.4
0.900,1.487,-0.40,0.4
0.950,1.472,-0.37,0.5
1.000,1.447,-0.34,0.5
1.050,1.438,-0.31,0.4
1.100,1.419,-0.30,0.2
1.150,1.406,-0.29,0.1
1.200,1.391,-0.29,0.1
1.250,1.378,-0.29,0.3
1.300,1.360,-0.27,0.7
1.350,1.349,-0.22,1.0
1.400,1.338,-0.16,1.0
1.450,1.333,-0.11,0.7
1.500,1.329,-0.09,0.4
1.550,1.325,-0.08,0.3
1.600,1.319,-0.06,0.2
1.650,1.320,-0.05,0.2
1.700,1.316,-0.04,0.2
1.750,1.313,-0.04,0.2
1.800,1.313,-0.02,0.2
1.850,1.311,-0.01,0.2
1.900,1.312,0.00,0.2
1.950,1.311,0.01,0.2
2.000,1.312,0.02,0.2
2.050,1.312,0.03,0.2
2.100,1.315,0.03,0.2
2.150,1.316,0.05,0.2
2.200,1.318,0.06,0.2
2.250,1.324,0.06,0.2
2.300,1.326,0.07,0.4
2.350,1.327,0.09,0.8
2.400,1.336,0.17,0.9
2.450,1.341,0.22,0.6
2.500,1.363,0.22,0.2
2.550,1.367,0.21,0.4
2.600,1.375,0.25,0.6
2.650,1.391,0.31,0.5
2.700,1.414,0.31,0.4
2.750,1.422,0.31,0.5
2.800,1.437,0.36,0.7
2.850,1.461,0.41,0.5
2.900,1.483,0.40,0.2
2.950,1.499,0.40,0.4
3.000,1.520,0.44,0.5
3.050,1.545,0.48,0.3
3.100,1.570,0.48,0.2
3.150,1.593,0.47,0.2
3.200,1.616,0.50,0.2
3.250,1.640,0.51,0.2
3.300,1.673,0.51,0.3
3.350,1.687,0.53,0.5
3.400,1.721,0.57,0.4
3.450,1.751,0.60,0.2
3.500,1.781,0.57,0.1
3.550,1.806,0.58,0.3
3.600,1.837,0.62,0.4
3.650,1.871,0.64,
3.700,1.901,0.63,
3.750,1.934,,
