"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.153,,
0.050,0.179,0.51,
0.100,0.204,0.51,0.0
0.150,0.229,0.51,0.0
0.200,0.255,0.51,0.0
0.250,0.280,0.51,0.0
0.300,0.305,0.51,0.0
0.350,0.331,0.51,0.0
0.400,0.356,0.50,-0.1
0.450,0.381,0.50,0.0
0.500,0.406,0.50,0.0
0.550,0.430,0.50,0.0
0.600,0.455,0.50,0.0
0.650,0.480,0.50,0.0
0.700,0.505,0.50,0.0
0.750,0.530,0.50,0.0
0.800,0.555,0.50,0.0
0.850,0.579,0.50,0.0
0.900,0.604,0.50,0.0
0.950,0.629,0.50,0.0
1.000,0.654,0.49,0.1
1.050,0.679,0.50,0.1
1.100,0.703,0.51,0.1
1.150,0.730,0.51,0.0
1.200,0.755,0.50,-0.1
1.250,0.780,0.49,-0.2
1.300,0.804,0.48,-0.1
1.350,0.828,0.48,0.0
1.400,0.851,0.49,0.1
1.450,0.877,0.50,0.1
1.500,0.902,0.50,0.0
1.550,0.927,0.49,-0.1
1.600,0.951,0.49,0.0
1.650,0.975,0.49,0.0
1.700,1.000,0.49,0.0
1.750,1.024,0.49,0.0
1.800,1.049,0.49,0.0
1.850,1.073,0.49,0.0
1.900,1.098,0.49,0.0
1.950,1.122,0.49,0.0
2.000,1.147,0.49,0.1
2.050,1.171,0.50,0.0
2.100,1.197,0.50,-0.1
2.150,1.221,0.49,-0.1
2.200,1.246,0.48,-0.3
2.250,1.270,0.47,-0.4
2.300,1.294,0.44,-0.5
2.350,1.315,0.40,-0.4
2.400,1.332,0.39,0.0
2.450,1.353,0.40,0.4
2.500,1.374,0.44,0.6
2.550,1.393,0.47,0.5
2.600,1.424,0.49,0.2
2.650,1.444,0.49,0.1
2.700,1.471,0.49,-0.1
2.750,1.493,0.50,-0.1
2.800,1.520,0.47,-0.1
2.850,1.543,0.49,-0.1
2.900,1.563,0.47,0.1
2.950,1.597,0.48,0.2
3.000,1.607,0.51,0.2
3.050,1.642,0.52,-0.1
3.100,1.670,0.51,-0.4
3.150,1.689,0.46,-0.4
3.200,1.712,0.46,-0.2
3.250,1.737,0.46,-0.1
3.300,1.758,0.45,-0.2
3.350,1.780,0.43,-0.2
3.400,1.802,0.42,
3.450,1.820,0.42,
3.500,1.845,,
